eye,tStart,tEnd,duration
L,937616,937762,147
R,938737,938877,141
L,938715,938896,182
R,939692,939887,196
L,939686,939895,210
L,941759,941922,164
R,941770,941929,160
R,945930,946013,84
L,945918,946021,104
R,946789,946877,89
R,947418,947632,215
R,948238,948533,296
L,946468,948853,2386
L,949025,949038,14
L,949121,949142,22
R,950014,950090,77
L,949996,950118,123
L,950896,952009,1114
R,950906,952015,1110
R,952832,952925,94
L,952822,952936,115
R,953571,953676,106
L,953563,953689,127
R,954252,954352,101
L,954243,954368,126
R,954971,955053,83
L,954962,955073,112
R,955997,956134,138
L,955988,956152,165
R,956817,956909,93
L,956807,956926,120
R,958026,958128,103
L,958017,958147,131
R,959171,959305,135
L,959165,959320,156
R,960187,960295,109
L,960177,960313,137
R,961617,961748,132
L,961608,961764,157
R,962543,962654,112
L,962533,962677,145
R,963909,964017,109
L,963900,964038,139
R,966049,966157,109
L,966037,966182,146
L,968313,971666,3354
R,968533,971886,3354
L,971796,971893,98
R,972826,972906,81
L,972817,972925,109
R,973980,974048,69
L,973966,974068,103
R,974872,974937,66
L,974857,974960,104
R,975675,975746,72
L,975665,975776,112
R,976896,976979,84
L,976886,976996,111
R,977937,977944,8
L,977922,977968,47
R,978129,978229,101
L,978121,978240,120
R,979050,979160,111
L,979048,979162,115
R,980817,980898,82
L,980808,980913,106
R,982049,982150,102
L,982045,982171,127
R,983571,983671,101
L,983556,983699,144
R,987616,987734,119
R,988624,988837,214
L,987572,988879,1308
R,989300,989397,98
L,989291,989417,127
R,991237,991381,145
L,991223,991421,199
R,993198,993284,87
L,993180,993308,129
R,994909,995040,132
L,994898,995056,159
R,996786,996993,208
L,996775,996996,222
R,1002568,1002740,173
L,1002562,1002742,181
R,1005825,1006021,197
L,1005818,1006029,212
R,1008211,1008336,126
L,1008180,1008340,161
R,1011618,1011684,67
L,1010349,1011739,1391
R,1012373,1012462,90
L,1012360,1012480,121
L,1013873,1014446,574
R,1013882,1014460,579
L,1015529,1015982,454
R,1015551,1015998,448
R,1018760,1018814,55
L,1018743,1018843,101
R,1021782,1021868,87
L,1021763,1021889,127
R,1023705,1023808,104
L,1023689,1023837,149
R,1025198,1025350,153
L,1025178,1025366,189
R,1029524,1029626,103
L,1029517,1029645,129
R,1032380,1032472,93
L,1032373,1032489,117
R,1033851,1033973,123
L,1033841,1033995,155
R,1037919,1038004,86
L,1037910,1038027,118
R,1039370,1039443,74
L,1039363,1039461,99
R,1040532,1040603,72
L,1040518,1040624,107
R,1041677,1041746,70
L,1041660,1041776,117
R,1043290,1043377,88
L,1043284,1043392,109
R,1045007,1045097,91
L,1044988,1045136,149
R,1047854,1047933,80
L,1047821,1047982,162
R,1050900,1051094,195
L,1050885,1051120,236
R,1053203,1053322,120
L,1053197,1053333,137
R,1056850,1057439,590
L,1056808,1058594,1787
R,1059100,1059441,342
R,1060774,1060852,79
L,1059077,1060893,1817
R,1061207,1062189,983
L,1061205,1062192,988
L,1062782,1062953,172
R,1062790,1062955,166
