eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,686236,687186,951,1399.2,1200.6,989.1,458.8,17.1,1690
L,686241,687232,992,747.5,689.8,830.8,364.8,7.1,931
R,687311,687434,124,967.7,480.7,984.7,460.2,0.6,1722
L,687297,687459,163,854.3,396.8,901.5,410.4,1.1,1267
R,687680,687914,235,963.5,491.4,868.7,344.5,3.7,789
L,687671,687953,283,926.3,452.8,784.8,285.2,4.7,747
R,688058,688210,153,847.8,359.9,832.0,452.9,2.0,850
L,688045,688225,181,801.7,333.9,809.6,415.2,1.7,755
L,688348,688383,36,803.1,460.5,1040.7,386.1,5.3,245
R,688347,688384,38,821.3,474.4,1072.4,404.5,5.5,276
L,688627,688663,37,1047.2,397.1,777.7,451.0,5.8,281
R,688628,688663,36,1060.1,402.3,794.5,452.9,5.7,273
R,688850,689291,442,796.3,462.7,2033.8,246.8,24.9,368
L,688846,689292,447,795.8,456.8,1964.2,215.4,23.7,636
R,689504,689641,138,2017.2,253.0,929.8,588.5,22.4,1462
L,689504,689672,169,1994.9,207.4,902.4,573.3,22.9,988
L,689980,690066,87,898.1,622.5,1087.3,1880.1,22.5,505
R,689979,690067,89,914.3,624.6,1062.1,2046.6,25.2,518
R,690117,690189,73,1039.1,2033.2,1039.1,2033.2,0.0,17
R,690283,690649,367,1402.9,2004.3,1454.5,1991.9,0.9,156
L,690615,690656,42,1078.0,1860.6,1392.1,1814.3,5.7,233
R,690719,690873,155,1402.9,2004.3,1454.5,1991.9,0.9,0
L,690856,690876,21,1409.9,1798.7,1487.8,1809.6,1.4,118
R,690924,691044,121,1522.4,1941.2,1521.5,1943.4,0.0,21
R,691087,691278,192,1558.9,1973.1,1102.0,504.0,27.7,1885
L,691094,691282,189,1481.7,1812.1,1015.5,497.4,25.1,1171
L,691624,691693,70,1036.4,535.4,-16.4,420.8,21.2,526
R,691626,691696,71,1045.5,562.5,15.3,466.5,20.7,484
R,691910,692552,643,34.8,458.8,1216.1,673.9,24.0,1293
L,691911,692578,668,28.7,445.3,1131.9,644.5,22.4,350
L,692837,692876,40,1149.1,677.4,761.3,603.1,8.3,376
R,692838,692877,40,1171.5,663.8,798.2,602.2,8.0,338
L,693006,693031,26,748.4,585.9,605.8,537.6,3.2,232
R,693006,693032,27,777.4,586.9,625.5,531.9,3.4,227
R,693193,693341,149,599.8,544.9,835.5,490.6,5.1,1277
L,693184,693352,169,585.6,533.0,800.0,462.5,4.8,622
R,693497,693527,31,828.7,519.5,1099.1,452.7,5.9,352
L,693498,693531,34,791.4,513.5,1058.3,450.0,5.8,318
L,693786,693817,32,1080.0,439.3,860.3,487.2,4.8,267
R,693788,693819,32,1108.7,440.7,887.5,487.5,4.8,253
R,694029,694171,143,880.9,508.6,1050.7,522.7,3.6,1589
L,694018,694191,174,866.3,498.5,1018.2,543.9,3.4,840
