eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,881348,881425,78,565.1,1039.4,602.7,908.4,2.7,176
R,881039,881683,645,444.1,999.2,898.2,934.1,9.3,756
L,881474,881708,235,607.9,909.1,880.8,932.3,5.6,490
L,881826,881869,44,878.0,938.4,436.3,953.8,9.0,496
R,881828,881874,47,885.2,917.8,535.9,952.6,7.2,289
R,882053,882075,23,560.4,951.3,653.7,945.2,1.9,132
L,882053,882078,26,518.6,949.2,614.0,956.0,1.9,117
R,882197,882220,24,682.6,932.2,806.0,923.8,2.5,169
L,882197,882223,27,640.5,953.0,783.2,967.3,2.9,194
R,882414,882440,27,821.7,940.1,999.7,939.6,3.7,223
L,882415,882444,30,810.9,954.9,981.4,959.9,3.5,195
R,882795,882821,27,1013.5,930.4,1170.0,927.0,3.2,205
L,882795,882822,28,1005.1,953.5,1145.5,952.5,2.9,171
R,883075,883098,24,1175.6,919.4,1300.4,929.6,2.6,177
L,883076,883099,24,1167.7,960.4,1272.8,947.4,2.2,143
R,883306,883332,27,1300.1,926.8,1452.9,914.4,3.1,197
L,883307,883335,29,1282.1,941.1,1427.2,947.6,2.9,173
L,883473,883497,25,1430.7,942.4,1311.8,945.6,2.4,173
R,883476,883498,23,1441.2,916.8,1338.5,926.2,2.1,172
L,883663,883678,16,1297.8,942.2,1245.9,939.7,1.1,93
R,883663,883679,17,1313.7,923.0,1255.4,926.2,1.2,99
L,883866,883891,26,1242.0,936.2,1382.3,931.4,2.9,173
R,883864,883893,30,1246.9,927.6,1420.3,915.8,3.5,210
L,884037,884060,24,1408.0,934.5,1530.8,938.4,2.5,176
R,884038,884063,26,1412.5,915.5,1560.0,902.4,3.0,216
L,884210,884286,77,1536.7,934.4,235.8,966.1,25.5,566
R,884208,884287,80,1553.5,896.5,300.1,1003.3,24.7,504
L,884405,884436,32,281.9,1025.3,228.6,1019.8,1.0,138
R,884407,884437,31,309.5,1002.9,259.8,1009.6,1.0,138
R,884623,884647,25,245.2,1009.1,362.0,1019.2,2.3,169
L,884624,884648,25,218.2,1019.9,322.7,1026.7,2.0,133
L,884693,884993,301,327.5,1027.0,429.5,1095.4,2.4,680
L,885098,885115,18,422.1,1072.2,375.6,1043.2,1.1,74
R,884713,885172,460,351.1,1004.7,397.9,1020.2,1.0,636
L,885189,885194,6,349.4,955.1,337.7,935.7,0.4,85
L,885316,885345,30,330.4,929.2,560.9,992.1,4.8,295
R,885315,885348,34,388.8,997.2,683.6,999.8,5.9,306
L,885399,885407,9,586.6,995.7,621.8,988.2,0.7,79
L,885446,885479,34,618.8,997.2,596.2,995.7,0.5,84
R,885591,885617,27,704.1,1007.2,863.3,1014.7,3.2,245
L,885591,885672,82,598.5,999.7,810.0,1002.7,4.3,219
L,886027,886054,28,829.2,1009.4,1004.2,1013.4,3.6,235
R,886027,886055,29,854.2,1003.6,1028.5,1007.3,3.6,235
R,886532,886555,24,1022.2,1008.2,1153.3,999.5,2.7,179
L,886533,886556,24,1019.8,1025.4,1138.9,1017.0,2.5,154
L,886739,886761,23,1172.7,1009.9,1085.5,1018.5,1.8,139
R,886739,886761,23,1174.4,991.9,1085.9,994.7,1.8,140
L,886909,886931,23,1087.4,1010.0,996.7,1006.4,1.9,151
R,886910,886932,23,1084.2,995.1,994.0,999.6,1.9,140
R,887204,887237,34,998.3,1002.2,1268.7,996.5,5.5,286
L,887205,887238,34,1002.4,1001.9,1255.0,1014.9,5.2,277
L,887403,887425,23,1253.9,997.4,1364.4,993.5,2.2,169
R,887401,887425,25,1263.5,998.1,1393.1,1003.1,2.6,206
R,887663,887689,27,1385.6,997.9,1552.2,991.9,3.3,246
L,887663,887690,28,1380.9,994.9,1537.9,1004.7,3.1,213
L,888031,888772,742,1537.0,1008.3,790.8,210.4,22.3,669
R,888032,888776,745,1528.1,1001.5,923.6,270.1,19.4,498
R,888998,889063,66,868.4,345.9,1630.6,1082.4,21.4,586
L,888999,889071,73,812.5,293.1,1620.6,1013.0,21.9,632
L,889339,889447,109,1630.0,1005.8,501.5,116.0,28.9,513
R,889340,889450,111,1631.3,1032.0,544.2,125.1,28.4,491
L,889554,889579,26,521.0,130.8,344.0,92.8,3.7,293
R,889555,889580,26,544.1,149.3,366.1,94.3,3.8,303
L,889798,889828,31,356.1,94.9,311.5,49.8,1.3,167
R,889798,889828,31,356.5,84.8,310.6,21.4,1.6,191
L,890051,890074,24,301.0,41.5,421.7,27.3,2.5,194
R,890050,890075,26,303.2,3.3,449.9,-5.8,3.0,250
R,890353,890359,7,441.9,2.7,428.1,0.5,0.3,42
L,890520,890542,23,416.8,30.5,536.9,10.7,2.5,179
R,890518,890544,27,426.8,4.1,574.1,5.9,3.0,210
L,890740,890763,24,552.5,10.8,663.5,16.3,2.3,170
R,890738,890763,26,575.7,3.4,696.3,6.5,2.5,172
R,890958,890981,24,706.7,13.9,848.7,14.6,3.0,232
L,890958,890982,25,679.4,19.2,810.8,20.0,2.8,189
R,891261,891275,15,870.8,12.4,826.6,8.7,0.9,79
L,891263,891276,14,831.5,20.6,793.6,19.0,0.8,73
L,891505,891536,32,785.1,12.2,1034.4,3.5,5.3,304
R,891504,891538,35,824.7,2.1,1091.8,6.0,5.7,341
L,891738,891745,8,1036.1,2.0,1022.3,5.0,0.3,41
R,891737,891746,10,1081.1,2.0,1058.0,5.9,0.5,54
R,891963,891983,21,1053.6,8.3,1133.1,1.3,1.7,128
L,891965,891985,21,1013.0,3.0,1079.8,-10.4,1.4,104
L,892130,892180,51,1097.6,-11.7,497.9,-5.8,12.6,438
R,892132,892183,52,1145.7,-4.1,548.1,7.2,12.5,403
R,892315,892366,52,543.6,8.7,1214.8,1.1,14.0,505
L,892317,892368,52,499.4,-5.8,1154.6,-26.9,13.7,451
R,892577,892606,30,1200.2,3.3,1338.2,-5.8,2.9,150
L,892579,892608,30,1152.8,-17.9,1281.8,-32.8,2.7,138
R,892793,892818,26,1344.1,-7.0,1498.8,-10.3,3.2,223
L,892793,892820,28,1281.2,-34.6,1433.8,-48.4,3.2,200
L,892962,893027,66,1447.5,-57.8,340.8,29.8,22.6,574
R,892964,893028,65,1489.9,-15.6,392.2,57.4,22.4,554
R,893134,893260,127,385.8,86.1,367.0,58.0,0.7,723
L,893130,893277,148,349.7,56.9,347.4,23.1,0.7,598
L,893363,893379,17,350.3,59.0,304.3,66.3,0.9,86
R,893361,893381,21,367.8,69.3,303.9,71.7,1.3,114
L,893526,893553,28,315.5,85.1,483.0,54.2,3.5,246
R,893525,893561,37,313.7,80.0,500.9,69.3,3.8,313
L,893733,893743,11,484.0,53.8,457.4,56.2,0.6,56
R,893731,893743,13,516.4,77.8,476.8,76.1,0.8,76
L,894020,894040,21,456.5,49.6,549.7,45.8,1.9,148
R,894017,894040,24,478.7,79.3,590.9,85.9,2.3,181
R,894194,894219,26,590.3,79.7,729.7,71.8,2.9,220
L,894194,894222,29,552.1,48.3,707.4,60.4,3.3,199
R,894437,894463,27,740.1,73.1,905.7,84.4,3.5,254
L,894438,894465,28,722.7,63.1,878.1,85.4,3.3,222
R,894551,894703,153,899.0,93.7,766.9,87.0,2.8,791
L,894564,894721,158,877.6,91.0,742.5,23.4,3.2,768
R,895128,895134,7,762.3,68.8,775.3,69.3,0.3,41
L,895128,895135,8,732.8,62.1,747.5,63.2,0.3,40
L,895258,895275,18,753.3,65.0,694.1,62.6,1.2,101
R,895259,895277,19,782.1,67.5,717.8,68.7,1.4,110
R,895502,895521,20,725.5,68.0,796.6,69.0,1.5,118
L,895503,895523,21,696.5,69.7,767.1,74.8,1.5,102
L,895684,895708,25,773.8,70.7,892.5,80.2,2.5,188
R,895684,895708,25,806.0,66.7,931.2,79.6,2.7,217
L,895997,896021,25,896.9,73.2,1020.1,65.7,2.6,183
R,895994,896021,28,920.6,74.8,1056.7,74.5,2.9,195
R,896218,896371,154,1049.4,96.8,1126.0,55.2,1.9,334
L,896215,896376,162,1017.1,69.4,1075.5,18.1,1.6,367
L,896432,896457,26,1083.9,44.9,1218.9,52.9,2.9,187
R,896431,896457,27,1121.8,58.9,1264.1,78.4,3.0,206
R,896647,896654,8,1259.7,87.9,1243.2,86.9,0.3,46
L,896648,896655,8,1227.3,66.6,1210.2,66.9,0.4,48
L,896911,896934,24,1211.8,52.7,1324.8,35.2,2.4,164
R,896911,896936,26,1236.6,79.4,1369.0,67.1,2.8,187
R,897158,897181,24,1369.8,64.7,1496.3,62.2,2.6,179
L,897159,897184,26,1335.4,38.8,1460.5,20.5,2.6,159
L,897342,897361,20,1489.6,23.2,1568.4,11.4,1.6,115
R,897342,897361,20,1523.5,61.9,1605.3,61.7,1.7,128
L,897511,897587,77,1572.9,12.0,293.2,118.3,25.9,556
R,897512,897587,76,1605.3,61.8,340.0,148.7,25.6,547
L,897711,897731,21,328.5,128.8,256.9,116.1,1.5,128
R,897712,897732,21,344.7,158.9,277.1,147.3,1.4,114
L,897948,897957,10,278.8,119.2,302.3,112.6,0.5,54
R,897948,897957,10,299.3,144.1,321.7,139.9,0.5,52
R,898135,898213,79,326.9,132.3,1580.1,59.5,25.4,562
L,898137,898214,78,310.1,113.0,1493.4,30.9,24.0,490
L,898387,898459,73,1496.8,52.5,368.5,128.6,23.1,560
R,898389,898461,73,1546.5,70.2,424.0,158.6,23.0,492
L,898637,898648,12,416.7,135.5,434.9,115.8,0.6,56
R,898638,898648,11,434.9,160.3,455.0,146.8,0.5,54
L,899021,899033,13,438.1,106.0,472.4,98.3,0.7,72
R,899019,899035,17,462.5,138.2,513.3,124.5,1.1,83
L,899128,899153,26,486.3,95.2,633.7,109.0,3.1,192
R,899127,899154,28,519.5,121.3,685.1,123.2,3.5,210
L,899429,899452,24,652.9,112.2,762.0,119.6,2.3,147
R,899428,899452,25,689.9,125.4,808.5,128.2,2.5,167
R,899801,899816,16,818.2,135.9,861.8,138.6,0.9,88
L,899802,899817,16,786.9,125.8,830.7,124.3,0.9,70
L,899994,900024,31,834.6,127.5,1007.7,132.4,3.7,201
R,899994,900024,31,858.9,139.6,1044.9,147.0,4.0,226
R,900335,900358,24,1034.4,146.8,1160.2,147.1,2.7,191
L,900336,900359,24,1019.8,134.3,1122.6,136.4,2.2,145
L,900579,900600,22,1153.8,142.8,1238.8,136.2,1.8,112
R,900579,900602,24,1178.3,142.4,1279.8,135.2,2.1,130
L,900812,900839,28,1251.0,128.0,1409.1,115.2,3.3,180
R,900811,900839,29,1283.7,130.9,1452.2,125.1,3.5,207
R,901034,901041,8,1446.1,125.0,1432.0,127.6,0.3,42
L,901034,901042,9,1412.7,118.9,1397.0,121.6,0.3,41
L,901290,901314,25,1392.8,120.8,1272.8,127.5,2.5,179
R,901290,901315,26,1424.2,127.9,1303.7,127.3,2.5,168
R,901423,901552,130,1299.0,144.2,1437.6,132.7,2.9,720
L,901423,901559,137,1271.1,137.9,1386.5,69.4,2.8,371
L,901762,901783,22,1382.2,88.2,1480.7,81.3,2.0,142
R,901761,901783,23,1421.3,115.8,1527.3,125.1,2.2,158
L,901975,901997,23,1487.9,98.3,1388.6,104.8,2.0,180
R,901974,901997,24,1525.3,124.4,1429.0,122.8,2.0,172
L,902252,902269,18,1402.2,111.0,1471.0,100.1,1.4,113
R,902249,902271,23,1422.0,133.2,1516.7,132.2,1.9,142
L,902415,902430,16,1475.5,101.7,1423.4,105.7,1.1,96
R,902413,902431,19,1512.6,133.2,1451.4,137.5,1.3,111
R,902616,902640,25,1462.0,134.4,1588.2,139.1,2.6,195
L,902617,902641,25,1424.7,102.2,1544.6,90.9,2.5,170
L,902866,902877,12,1545.3,93.8,1510.8,99.9,0.7,74
R,902868,902877,10,1575.4,133.7,1553.4,132.8,0.5,51
L,903070,903094,25,1507.7,99.4,1617.2,76.1,2.3,150
R,903072,903094,23,1553.9,130.0,1664.3,132.5,2.2,164
L,903295,903371,77,1619.8,80.5,290.4,154.3,26.8,567
R,903296,903373,78,1657.8,128.3,325.0,215.6,26.9,540
R,903504,903526,23,333.0,217.4,281.0,199.6,1.1,118
L,903505,903526,22,313.5,160.8,264.3,150.5,1.0,104
L,903718,903727,10,271.6,153.4,247.6,151.8,0.5,55
R,903719,903730,12,291.5,196.0,259.5,195.8,0.6,62
R,903835,903950,116,289.1,235.6,347.7,220.4,1.2,913
L,903831,903977,147,251.8,166.6,327.6,104.8,2.0,814
L,904015,904040,26,333.3,149.9,457.5,136.1,2.6,186
R,904014,904040,27,348.5,202.2,492.3,213.8,3.0,226
R,904311,904336,26,482.0,210.1,624.3,216.4,3.0,207
L,904312,904338,27,473.5,156.9,611.0,171.1,2.9,199
L,904556,904577,22,624.5,177.4,534.6,171.4,1.9,141
R,904555,904577,23,636.1,211.7,548.8,212.5,1.8,122
L,904777,904805,29,541.4,167.4,704.3,195.8,3.5,216
R,904777,904805,29,552.6,209.7,728.0,231.3,3.7,236
L,905001,905025,25,714.6,196.7,844.1,191.1,2.8,201
R,905001,905026,26,731.5,223.9,873.8,228.6,3.0,227
R,905444,905468,25,884.8,222.4,1017.0,221.6,2.8,194
L,905444,905468,25,856.4,192.5,974.4,187.9,2.5,163
L,905745,905765,21,1002.6,192.9,1087.1,187.0,1.8,124
R,905743,905766,24,1034.7,218.0,1126.9,216.2,2.0,131
L,905994,906018,25,1103.4,186.9,1228.8,170.7,2.7,171
R,905993,906018,26,1136.0,211.1,1277.6,201.4,3.0,199
R,906257,906278,22,1298.1,195.8,1381.7,193.6,1.8,134
L,906259,906279,21,1258.2,171.9,1339.8,167.5,1.7,111
L,906468,906488,21,1356.1,172.1,1424.5,165.8,1.4,104
R,906467,906488,22,1396.0,195.7,1475.8,188.8,1.7,114
L,906637,906657,21,1443.9,163.7,1520.1,152.1,1.6,114
R,906636,906658,23,1488.5,187.9,1584.2,181.5,2.0,133
L,906865,906941,77,1537.9,155.4,360.7,217.8,24.0,512
R,906866,906942,77,1584.7,179.3,396.3,249.1,24.2,501
L,907066,907088,23,389.1,217.6,282.9,218.1,2.1,179
R,907067,907089,23,404.2,254.4,309.5,260.0,1.9,141
R,907424,907458,35,322.4,255.8,563.8,261.0,5.0,246
L,907425,907460,36,297.6,226.1,537.2,235.2,4.9,224
L,907681,907705,25,565.4,236.1,675.0,245.4,2.3,142
R,907680,907705,26,579.0,257.8,705.1,268.3,2.7,167
L,907898,907919,22,698.6,248.4,785.8,258.3,1.9,116
R,907898,907919,22,724.8,270.1,810.4,277.7,1.8,119
L,908114,908145,32,796.3,260.9,1004.6,269.2,4.4,232
R,908113,908147,35,818.1,279.3,1053.2,287.3,5.0,254
L,908411,908434,24,1020.6,270.3,1140.0,256.0,2.6,173
R,908410,908434,25,1046.7,290.6,1170.3,286.7,2.6,173
R,908573,908599,27,1180.5,280.5,1327.1,271.0,3.1,200
L,908575,908601,27,1164.3,252.6,1300.9,241.2,2.9,181
R,908849,908868,20,1331.7,268.7,1417.7,263.7,1.8,150
L,908851,908871,21,1317.5,246.9,1390.4,247.3,1.5,104
L,909081,909102,22,1407.5,245.1,1503.2,229.7,2.0,116
R,909078,909104,27,1420.1,261.4,1549.1,254.5,2.7,154
L,909224,909295,72,1522.2,231.5,337.8,309.0,24.2,526
R,909224,909296,73,1557.5,251.4,370.4,324.3,24.2,501
L,909469,909491,23,360.3,311.1,269.3,301.4,1.9,165
R,909470,909491,22,366.7,323.7,281.0,320.5,1.7,158
L,909752,909773,22,276.7,302.6,379.3,310.8,2.1,143
R,909752,909774,23,288.7,312.9,392.2,321.9,2.1,157
L,909886,909894,9,397.7,321.0,392.8,302.3,0.4,51
L,909933,909962,30,387.1,267.5,551.0,306.5,3.5,192
R,909932,909968,37,410.6,328.0,591.2,339.4,3.7,184
R,910146,910301,156,594.9,337.5,934.9,363.0,7.2,781
L,910131,910318,188,580.0,307.6,917.5,334.7,7.2,694
L,910500,910516,17,908.4,353.5,968.2,345.5,1.3,114
R,910498,910517,20,927.1,356.9,1000.7,352.9,1.6,104
R,910714,910750,37,1005.0,347.7,1238.6,335.3,5.0,202
L,910714,910751,38,980.9,342.4,1201.5,319.2,4.7,172
R,910922,910936,15,1238.3,337.4,1283.9,336.8,1.0,74
L,910924,910942,19,1210.2,335.3,1269.9,335.2,1.3,95
L,911193,911213,21,1283.3,334.7,1351.5,326.4,1.4,101
R,911189,911213,25,1287.6,328.2,1389.4,321.4,2.1,136
R,911492,911516,25,1401.7,328.0,1520.7,325.6,2.5,133
L,911492,911517,26,1370.1,339.5,1483.0,316.6,2.4,134
L,911942,912021,80,1556.8,301.1,326.9,377.3,25.0,538
R,911944,912023,80,1579.3,312.4,350.0,382.9,24.9,513
L,912131,912146,16,339.3,390.0,292.2,393.8,0.9,72
R,912132,912147,16,351.6,412.9,298.1,416.5,1.1,86
L,912407,912443,37,266.4,387.1,512.5,383.6,5.0,222
R,912407,912445,39,279.5,412.7,545.4,392.5,5.4,256
L,912665,912688,24,541.2,393.1,664.8,398.6,2.6,160
R,912664,912690,27,555.1,400.4,697.0,399.2,3.0,167
R,912885,912909,25,721.0,396.0,832.8,405.5,2.4,142
L,912889,912910,22,707.8,403.7,801.6,412.6,2.0,132
R,913190,913213,24,848.2,409.6,949.1,411.6,2.1,124
L,913193,913214,22,830.8,419.4,913.5,415.6,1.8,104
R,913397,913416,20,970.8,406.1,1044.4,406.4,1.6,105
L,913398,913417,20,944.6,420.6,1010.0,417.0,1.4,89
R,913660,913678,19,1055.6,401.8,1123.5,397.6,1.4,98
L,913661,913681,21,1030.8,405.7,1101.2,404.5,1.5,90
R,913850,913869,20,1142.4,394.6,1208.3,397.2,1.4,104
L,913850,913871,22,1119.2,412.7,1189.7,418.1,1.5,95
R,914045,914065,21,1222.9,411.2,1307.7,418.6,1.8,125
L,914046,914067,22,1206.2,436.4,1290.7,435.0,1.8,106
R,914250,914269,20,1340.0,408.0,1402.8,408.0,1.3,83
L,914252,914271,20,1327.1,428.6,1385.1,425.1,1.2,78
L,914466,914546,81,1408.8,413.1,307.3,479.9,22.6,504
R,914468,914548,81,1419.4,402.3,328.5,469.4,22.3,480
L,914672,914686,15,336.7,497.8,288.9,489.7,1.0,77
R,914672,914686,15,338.8,486.5,292.2,485.4,0.9,77
L,914929,914952,24,284.4,487.6,413.6,496.9,2.6,166
R,914929,914953,25,285.2,483.7,423.5,488.3,2.8,198
R,915165,915189,25,471.8,493.7,531.9,476.8,1.3,79
L,915400,915417,18,568.2,467.0,638.6,474.8,1.5,117
R,915397,915419,23,569.4,460.0,657.0,476.8,1.9,134
R,915651,915674,24,660.2,472.7,774.8,475.8,2.4,154
L,915652,915675,24,654.7,478.0,755.8,482.3,2.1,120
R,915837,915860,24,815.1,482.7,920.3,484.8,2.2,145
L,915840,915861,22,798.6,490.7,886.5,496.2,1.9,125
L,916111,916132,22,913.9,482.8,1002.3,484.1,1.9,125
R,916110,916133,24,936.5,475.8,1033.5,473.6,2.1,134
L,916307,916334,28,1013.5,480.2,859.1,480.9,3.3,204
R,916308,916336,29,1032.2,468.7,885.8,473.6,3.1,197
L,916389,916423,35,857.4,482.1,756.4,493.9,2.1,203
R,916390,916424,35,872.9,473.5,770.7,476.6,2.2,191
R,916747,916782,36,750.7,472.8,1033.8,482.8,6.0,305
L,916748,916783,36,745.6,493.2,1004.2,491.4,5.5,250
L,917013,917034,22,1022.1,495.5,1105.1,491.6,1.8,117
R,917013,917035,23,1028.0,480.1,1123.7,480.6,2.0,142
R,917257,917271,15,1122.8,481.5,1163.4,484.1,0.9,74
L,917258,917272,15,1115.1,486.1,1149.0,483.1,0.7,54
R,917421,917445,25,1166.1,484.2,1278.3,476.9,2.4,161
L,917421,917446,26,1155.8,479.9,1268.6,481.6,2.4,140
L,917571,917597,27,1278.4,485.9,1409.1,489.2,2.7,168
R,917570,917597,28,1276.5,481.1,1425.9,472.4,3.1,202
L,917768,917861,94,1408.7,487.1,332.4,548.9,22.0,481
R,917769,917863,95,1417.4,472.1,338.9,546.8,22.1,459
R,917965,917977,13,336.2,552.5,299.7,553.3,0.7,70
L,917968,917981,14,340.5,554.4,301.5,552.6,0.8,69
L,918175,918195,21,303.3,563.1,384.1,567.4,1.6,113
R,918175,918196,22,289.9,565.8,376.6,562.1,1.8,131
L,918387,918408,22,426.9,578.3,521.4,577.0,1.9,134
R,918385,918409,25,409.5,570.9,525.8,571.0,2.4,161
R,918613,918826,214,553.4,565.4,701.4,529.1,3.1,394
L,918521,918845,325,552.2,546.9,657.2,471.5,2.7,444
L,919031,919042,12,678.5,512.5,706.6,521.6,0.6,62
R,919032,919044,13,683.5,515.7,722.2,522.2,0.8,76
R,919196,919224,29,720.4,530.8,892.6,555.4,3.7,247
L,919197,919225,29,702.1,537.8,873.9,559.8,3.7,263
L,919486,919510,25,875.3,563.1,1014.1,556.8,2.9,215
R,919485,919511,27,881.7,559.6,1036.1,553.1,3.3,233
L,919749,919769,21,1027.4,567.7,1107.2,552.1,1.7,132
R,919748,919771,24,1032.9,552.5,1148.9,542.0,2.5,186
R,920001,920024,24,1145.8,537.9,1245.5,528.9,2.1,135
L,919999,920026,28,1123.1,559.1,1236.8,558.2,2.4,139
R,920116,920327,212,1241.2,534.6,1359.3,509.5,2.5,1114
L,920101,920355,255,1237.2,537.5,1324.8,498.1,2.0,248
L,920471,920487,17,1332.5,522.3,1392.3,529.4,1.2,100
R,920467,920488,22,1331.7,504.9,1415.6,509.4,1.7,129
L,920643,920670,28,1396.9,533.2,1542.6,536.7,3.0,166
R,920641,920670,30,1399.6,513.0,1561.3,524.9,3.3,212
L,920828,920896,69,1539.3,545.1,353.4,622.0,24.0,594
R,920828,920898,71,1546.1,525.9,351.1,643.6,24.3,536
L,921040,921061,22,369.4,621.5,294.6,616.1,1.5,120
R,921042,921062,21,347.5,636.8,277.6,628.4,1.4,125
R,921258,921291,34,290.5,623.4,518.7,634.6,4.6,250
L,921260,921292,33,309.5,617.9,520.5,631.0,4.3,225
R,921457,922225,769,518.7,655.6,574.4,643.3,1.2,771
R,922325,922350,26,599.1,669.6,516.7,643.4,1.8,104
R,922507,922524,18,520.9,651.6,540.4,609.9,0.9,93
R,922682,922902,221,533.4,632.4,656.3,605.8,2.6,609
L,921443,923031,1589,530.1,626.5,538.0,587.9,0.8,660
R,923230,923384,155,636.2,640.4,767.0,618.3,2.8,889
L,923194,923426,233,601.2,523.8,762.6,521.6,3.4,809
L,923603,923622,20,769.7,606.6,836.0,592.8,1.4,112
R,923601,923624,24,750.5,635.1,831.2,622.2,1.7,121
R,923988,924006,19,823.2,633.2,887.8,638.4,1.4,114
L,923989,924007,19,834.8,607.7,897.8,610.5,1.3,100
R,924141,924376,236,889.3,637.4,961.8,622.7,1.6,1307
L,924124,924390,267,917.9,607.0,922.5,645.1,0.8,755
L,924485,924502,18,955.8,613.8,1024.2,618.4,1.4,112
R,924484,924503,20,947.6,631.5,1026.6,620.0,1.7,136
R,924759,924777,19,1039.7,636.7,1095.6,635.9,1.2,104
L,924762,924779,18,1024.9,597.4,1083.1,592.6,1.2,102
L,924977,924997,21,1105.6,604.0,1181.4,603.9,1.6,112
R,924976,924998,23,1112.0,631.6,1192.2,618.1,1.7,140
L,925187,925207,21,1180.9,608.9,1103.4,613.4,1.6,116
R,925188,925209,22,1190.6,604.7,1107.4,623.1,1.8,129
R,925365,925655,291,1109.0,626.7,1279.5,614.1,3.6,912
L,925350,925681,332,1104.1,607.1,1218.4,622.1,2.4,129
L,925805,925822,18,1192.9,600.0,1255.1,594.4,1.3,95
R,925802,925823,22,1206.6,600.3,1287.5,606.3,1.7,112
R,926053,926076,24,1289.6,588.3,1415.1,588.1,2.6,180
L,926054,926078,25,1269.8,606.3,1383.2,598.4,2.4,147
L,926270,926286,17,1417.5,616.3,1353.3,616.5,1.3,110
R,926270,926287,18,1430.7,601.3,1366.8,601.9,1.3,106
L,926445,926453,9,1333.2,633.0,1315.2,628.3,0.4,50
R,926444,926455,12,1353.8,608.8,1328.5,606.1,0.5,52
R,926600,926846,247,1324.7,614.9,1494.2,580.4,3.6,835
L,926591,926869,279,1306.6,634.7,1429.5,563.1,2.9,295
R,926983,926999,17,1473.4,557.6,1523.2,571.8,1.1,78
L,926984,927000,17,1449.0,578.0,1502.8,590.3,1.1,78
L,927191,927204,14,1518.7,610.3,1561.8,619.4,0.9,80
R,927191,927204,14,1529.4,593.9,1574.8,604.3,0.9,80
R,927343,927364,22,1563.0,615.3,1465.2,612.4,2.0,146
L,927341,927365,25,1571.1,634.5,1450.2,639.4,2.5,176
R,927572,927836,265,1435.2,605.5,1519.0,543.9,2.1,864
L,927573,927842,270,1444.7,643.6,1488.2,570.8,1.8,295
R,927889,927906,18,1507.2,563.1,1585.5,563.5,1.6,128
L,927889,927909,21,1497.0,605.3,1571.3,608.7,1.5,101
L,928094,928165,72,1570.7,610.5,291.5,714.1,25.7,610
R,928095,928167,73,1561.5,592.3,297.0,735.7,25.5,586
L,928314,928327,14,320.1,746.7,280.5,737.3,0.8,74
R,928312,928327,16,316.5,739.0,273.7,730.5,0.9,81
L,928664,929151,488,292.1,763.6,1598.7,532.2,26.4,511
R,928674,929152,479,292.7,772.1,1651.6,601.2,27.3,523
L,929199,929211,13,1617.7,580.3,1623.9,607.3,0.6,64
R,929395,929567,173,1620.8,575.0,275.0,727.2,26.8,826
L,929393,929602,210,1614.2,520.7,294.5,685.0,26.5,766
L,929731,929738,8,277.0,713.8,294.5,704.5,0.4,53
R,929733,929738,6,259.8,766.1,275.1,762.7,0.3,59
L,929922,929946,25,278.6,717.6,394.5,714.5,2.3,184
R,929922,929954,33,264.7,768.8,371.5,755.7,2.1,212
L,930313,930328,16,407.8,761.1,358.9,760.1,1.0,80
L,930515,930538,24,373.9,769.8,491.5,780.5,2.4,184
L,930596,930601,6,505.8,773.7,508.7,764.7,0.2,45
L,930729,931017,289,505.0,751.9,376.4,759.0,2.6,740
L,931124,931229,106,357.4,787.3,432.3,1244.4,8.9,986
L,931261,935940,4680,422.3,1253.0,702.3,818.6,10.1,1297
R,930311,935948,5638,406.8,791.8,284.7,1125.8,7.1,649
L,935994,936020,27,704.7,852.6,555.2,847.0,3.1,236
R,935995,936020,26,683.7,881.7,551.4,891.2,2.7,211
R,936288,936319,32,542.2,879.3,834.1,852.1,6.0,392
L,936289,936320,32,550.7,869.0,828.0,861.6,5.7,354
L,936563,936586,24,852.0,865.8,731.2,867.3,2.5,194
R,936563,936587,25,827.7,858.2,721.1,868.8,2.2,173
R,936730,936891,162,712.6,851.4,960.9,816.2,5.2,1746
L,936724,936919,196,749.3,837.6,968.5,854.9,4.6,1094
L,937046,937070,25,966.2,845.9,1071.7,838.0,2.2,156
R,937046,937070,25,940.4,866.4,1057.6,845.4,2.5,190
R,937281,937308,28,1050.0,849.0,1230.5,817.5,3.8,273
L,937283,937310,28,1078.1,849.7,1237.4,843.4,3.3,222
R,937588,937778,191,1224.4,812.3,1412.5,745.6,4.1,874
L,937590,937797,208,1238.0,839.2,1392.9,792.8,3.3,271
L,937971,937993,23,1390.6,816.6,1497.6,815.9,2.2,170
R,937969,937993,25,1397.1,799.7,1522.5,807.2,2.5,199
L,938133,938201,69,1504.4,836.0,285.3,836.8,24.3,616
R,938134,938202,69,1511.2,805.6,321.3,885.0,23.7,570
R,938351,938376,26,328.4,885.3,248.1,910.2,1.6,163
L,938350,938380,31,315.0,890.2,240.7,909.0,1.5,170
R,938532,938559,28,259.9,892.1,481.5,900.3,4.4,339
L,938534,938560,27,236.6,897.5,430.6,909.3,3.8,272
R,938696,938922,227,484.8,900.9,539.8,813.2,2.1,865
L,938682,939051,370,456.5,901.6,414.3,828.9,1.7,363
R,939035,939054,20,523.5,893.9,450.4,893.6,1.5,118
R,939304,939326,23,451.2,891.3,553.7,880.8,2.1,172
L,939303,939334,32,416.0,807.8,527.4,828.1,2.3,201
