,eye,fix_num,fix_word_num,norm_fix_word_num,norm_in_word_reg,norm_out_word_reg,zscored_zipf_fixdur_corr,zipf_fixdur_corr,zscored_word_length_fixdur_corr,word_length_fixdur_corr,norm_total_viewing,blink_num,blink_dur,blink_freq,sac_num,norm_sac_num,mean_pupil,pupil_slope,reading,run,page,is_MWreported,is_MWvalid,MW_start,MW_end,page_start,page_end,win_start,win_end,win_dur,task_start,norm_pupil,sub_id
0,L,75,75,3.499113557898633,0.28,0.1466666666666666,0.5743536902990583,0.1030654848422847,-0.9872524318175049,-0.1730859055725417,248.0533333333333,3,62.66666666666666,0.1399645423159453,76,3.545768405337282,1839.516281782132,-0.0062130273720643,History of Film,2,0,False,False,,,2329.38,2423.521,2329.384,2350.818,21.4340000000002,2329.271,1.0365329677150406,s10093
1,L,6,6,2.9083858458554066,0.3333333333333333,0.1666666666666666,0.846058664058892,0.1752881297568999,-2.4795259441858604,-0.4948752152992232,275.0,0,,,7,3.393116820164641,1740.421715947649,0.0158950317496976,Pluto,3,8,False,False,,,4115.517,4193.626,4126.592,4128.655,2.063000000000102,3591.057,0.9806950360663252,s10093
2,L,7,7,3.4687809712586217,0.2857142857142857,0.0,3.94866335720936,1.0,3.3381388445265867,0.7596282795794659,226.42857142857144,0,,,8,3.9643211100098537,1600.9821693907877,-0.1471978999648558,Serena Williams,1,4,False,False,,,1351.302,1429.232,1364.726,1366.744,2.018000000000029,1007.03,0.9021234635062833,s10093
3,L,14,14,2.914844888611355,0.1428571428571428,0.5714285714285714,-1.5514555701497963,-0.462001710097284,0.33098033484081124,0.1111737884622637,241.57142857142856,2,56.0,0.416406412658765,15,3.1230480949407378,2477.420845531949,-0.1079438703852943,Serena Williams,1,9,False,False,,,1709.899,1786.043,1728.603,1733.406,4.802999999999884,1007.03,1.395980240419789,s10093
4,L,8,8,3.498032356800291,0.125,0.25,0.5310630424332675,0.091558278898759,1.2060587240284082,0.2998730238768938,228.75,0,,,9,3.9352864014003273,1623.0835155225186,-0.0885630066320985,Prisoners Dilemma,4,7,False,False,,,5048.02,5123.581,5067.688000000001,5069.975,2.2869999999993524,4543.175,0.9145771580581066,s10093
5,L,8,8,3.1189083820662105,0.25,0.125,1.0678353418152011,0.2342391972559256,-1.9668494557596823,-0.3843232206706162,231.5,1,82.0,0.3898635477582763,9,3.5087719298244866,1587.5930277696198,-0.0818172270306533,History of Film,2,2,False,False,,,2521.825,2596.146,2543.165,2545.73,2.5650000000000546,2329.271,0.8945789330026985,s10093
6,L,11,11,3.097718952407436,0.4545454545454545,0.0909090909090909,-1.605225398187548,-0.4762944156880292,1.0927375239635166,0.2754367858521318,275.1818181818182,0,,,12,3.3793297662626576,1584.3547297297298,0.0085969090854123,Prisoners Dilemma,4,4,False,False,,,4828.77,4902.675,4853.246,4856.7970000000005,3.5510000000003856,4543.175,0.8927542127156994,s10093
7,L,13,13,3.5326086956518945,0.2307692307692307,0.2307692307692307,-2.8640840491406303,-0.8109150893082353,0.20942102223660383,0.0849611089705016,226.7692307692308,0,,,14,3.804347826086656,1460.9758152173913,-0.0526388659456485,Prisoners Dilemma,4,6,False,False,,,4976.644,5047.848,5002.004000000001,5005.684000000001,3.680000000000291,4543.175,0.8232325054715333,s10093
8,L,10,10,2.3310023310023507,0.2,0.2,1.1328163577328247,0.2515119794721165,-0.02834708769311019,0.0336895187860246,333.0,1,62.0,0.2331002331002351,10,2.3310023310023507,1646.7937062937062,0.0134464801047278,Pluto,3,6,False,False,,,3980.013,4049.567,4006.193,4010.483,4.289999999999964,3591.057,0.9279374064280416,s10093
9,L,14,14,2.845528455284511,0.1428571428571428,0.1428571428571428,-0.125845470373855,-0.0830563761270018,-0.4959679139593109,-0.0671468102453772,296.42857142857144,1,52.0,0.2032520325203222,15,3.048780487804833,1171.3303861788618,0.0777128260421347,History of Film,2,9,False,False,,,3065.272,3133.092,3091.494,3096.414,4.920000000000073,2329.271,0.6600227317284371,s10093
10,L,23,23,3.731948726269667,0.1304347826086956,0.1739130434782608,-1.0691031573760874,-0.3337862911839133,0.7931924274092063,0.2108437946522515,219.30434782608697,0,,,24,3.8942073665422616,1614.6588254380272,0.0078476476384722,History of Film,2,6,False,False,,,2843.134,2910.821,2871.871,2878.034,6.163000000000011,2329.271,0.9098300030033564,s10093
11,L,9,9,2.8098657508589917,0.1111111111111111,0.1111111111111111,2.753971823718739,0.682435764013439,-2.676558098714688,-0.5373626282796807,301.6666666666667,0,,,10,3.1220730565099903,1890.8679363097096,-0.0091856683452517,Prisoners Dilemma,4,0,False,False,,,4543.278,4609.663,4579.187000000001,4582.39,3.20299999999952,4543.175,1.0654686631430694,s10093
12,L,9,9,3.1479538300105774,0.1111111111111111,0.3333333333333333,-0.11734274819910655,-0.0807962442054666,2.2897667429394457,0.5335605164580609,219.55555555555557,1,87.0,0.349772647778953,10,3.4977264777895303,1896.301853795033,-0.0285339807695269,Pluto,3,5,False,False,,,3914.943,3979.843,3951.448,3954.307,2.858999999999924,3591.057,1.0685305738601216,s10093
13,L,17,17,3.719912472647569,0.1176470588235294,0.3529411764705882,1.0538633667638482,0.2305252682139726,-0.26297762957034004,-0.0169054957911919,211.8823529411765,1,87.0,0.2188183807439746,18,3.938730853391544,2169.333843797856,0.0606179032912729,Pluto,3,3,False,False,,,3762.393,3827.243,3808.521,3813.091,4.570000000000164,3591.057,1.2223789859027654,s10093
14,L,10,10,3.957261574990039,0.1,0.3,-1.2126791670018533,-0.3719506244236311,0.9267389848652269,0.2396413670704234,212.1,0,,,11,4.3529877324890425,2169.840585443038,-0.0634177308926527,Prisoners Dilemma,4,2,False,False,,,4692.36,4750.706,4741.214,4743.741,2.527000000000044,4543.175,1.2226645253277475,s10093
15,L,10,10,3.3025099075294526,0.1,0.2,-0.10664256094568021,-0.0779519980592507,-1.2340325070736995,-0.2263008084792867,235.1,0,,,11,3.632760898282398,2070.5566193463187,0.0764748737061372,Pluto,3,1,False,False,,,3632.436,3690.425,3682.88,3685.908,3.0280000000002474,3591.057,1.1667198701790302,s10093
16,L,20,20,4.018485031142636,0.15,0.35,-0.20828545820940467,-0.1049699755941761,1.207486836048316,0.3001809775980378,206.7,0,,,21,4.219409282699768,1571.6190476190477,0.0289387672683668,The Voynich Manuscript,5,7,False,False,,,6026.171,6081.458,6066.799108334254,6071.776108334255,4.977000000000771,5686.035,0.8855778944059363,s10093
17,L,79,79,3.6857329476532272,0.2278481012658227,0.189873417721519,0.05726744524238928,-0.0343826293757859,-0.49230992214819214,-0.0663580120457646,231.62025316455697,4,98.5,0.1866193897545938,80,3.732387795091876,1838.2259708604272,0.0244592799240021,The Voynich Manuscript,5,6,False,False,,,5975.95,6026.003,5975.954,5997.388,21.4340000000002,5686.035,1.0358059016802383,s10093
18,L,5,5,2.423654871546172,0.0,0.2,-1.8713622005261974,-0.547036969672357,1.0685593594197837,0.2702230801778697,335.2,0,,,5,2.423654871546172,1906.1046511627908,-0.0724806347123437,The Voynich Manuscript,5,5,False,False,,,5925.932,5975.778,5937.007,5939.07,2.063000000000102,5686.035,1.0740542665548485,s10093
19,L,7,7,3.4687809712586217,0.1428571428571428,0.1428571428571428,-0.34440223832635536,-0.1411515505623137,1.7208988969566665,0.4108915888336745,201.57142857142856,0,,,8,3.9643211100098537,1806.9166242914532,0.25366511373171,Pluto,3,9,False,False,,,4193.795,4237.096,4207.219,4209.237,2.018000000000029,3591.057,1.0181636713625395,s10093
20,L,18,18,3.747657713928885,0.1666666666666666,0.1666666666666666,-0.8261251436368515,-0.2691996383688682,-0.42802392602899136,-0.0524955758738201,220.0,0,,,19,3.955860920258268,1709.492506244796,0.0312346482570093,Pluto,3,0,False,False,,,3591.162,3632.256,3609.866,3614.669,4.802999999999884,3591.057,0.9632670057521164,s10093
21,L,8,8,3.498032356800291,0.125,0.125,2.587499519946382,0.6381853039754996,-2.5237378672718167,-0.5044089395753714,221.625,0,,,8,3.498032356800291,1842.214691735899,0.0649563202205826,The Voynich Manuscript,5,2,False,False,,,5776.297,5817.022,5795.965,5798.252,2.2869999999993524,5686.035,1.0380534711784728,s10093
22,L,9,9,3.5087719298251088,0.2222222222222222,0.1111111111111111,0.4533695773062477,0.0709063656621074,-1.5585042921903605,-0.296268914790284,193.11111111111111,0,,,10,3.898635477583454,1618.6561403508772,0.1155689282910363,The Voynich Manuscript,5,0,False,False,,,5686.14,5726.749,5707.4800000000005,5710.045,2.5649999999996,5686.035,0.9120824150806738,s10093
23,L,15,15,4.224162207828322,0.1333333333333333,0.2,-0.49257038852886226,-0.1805365332943191,0.1854117576268245,0.0797838243629604,165.46666666666667,1,92.0,0.2816108138552214,16,4.505773021683543,1906.8506475225224,0.0662922381999753,The Voynich Manuscript,5,3,False,False,,,5817.196,5857.643,5841.672,5845.223,3.5510000000003856,5686.035,1.0744746215298575,s10093
24,L,9,9,2.4456521739131523,0.2222222222222222,0.1111111111111111,2.895447387953304,0.7200417720979266,-0.4582917427817585,-0.0590224355808913,311.55555555555554,1,79.0,0.2717391304347947,10,2.717391304347947,1416.484375,0.15325784045144,Serena Williams,1,8,False,False,,,1673.467,1709.729,1698.8270000000002,1702.507,3.679999999999836,1007.03,0.7981624123045564,s10093
25,L,18,18,4.195804195804231,0.1666666666666666,0.2777777777777778,-0.8008001878211144,-0.2624679423456109,0.88389248145921,0.2304020777304001,197.16666666666663,0,,,18,4.195804195804231,1810.8219114219116,-0.0283864750186094,Prisoners Dilemma,4,9,False,False,,,5179.394,5212.766,5205.5740000000005,5209.8640000000005,4.289999999999964,4543.175,1.020364227508306,s10093
26,L,20,20,4.065040650406444,0.1,0.3,0.11938138086926503,-0.0178719536419128,-1.1608476686164169,-0.2105194530813397,175.55,0,,,21,4.2682926829267664,2038.4298780487804,0.0550933411772851,The Voynich Manuscript,5,9,False,False,,,6126.833,6158.959,6153.054999999999,6157.974999999999,4.920000000000073,5686.035,1.1486170532428903,s10093
